Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Recoboda Partylist,RecobodaPartylist,2006989719608216,POLITICAL ORGANIZATION,PH,"Official Page of RECOBODA Partylist - Rural Electric Consumers and Beneficiaries of Development and Advancement. 

RECOBODA's elected official is Engr. Godofredo ""Fred"" Guya.
Rep. Fred Guya is a proud Power Bloc Representative in the 18th Congress.",2020-06-04 16:47:25 SGT,N/A,N/A,2019-08-02 06:39:24 SGT,2019-08-02,06:39:24,Link,76,47,1,23,4,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/2006989719608216/posts/2120407534933100,“Rural electrification is the key to rural development...” #RECOBODA #MCOsAngBida,http://www.congress.gov.ph/photojournal/zoom.php?photoid=2047,,,House of Representatives,"Neophyte House Members belonging to the Party-list Coalition Foundation, Inc., among them Reps. Niña Taduran (Party-list, ACT-CIS), Presley De Jesus (Party-list, PHILRECA), Adriano Ebcas (Party-list, AKO PADAYON) and Godofredo Guya (Party-list, RECOBODA), held a press conference on Thursday to disc...",,,,4
Gov. Ben P. Evardone,BenPEvardone,789846311110641,PUBLIC FIGURE,PH,"Two-term Governor (2004-2010).
Third-termer Congressman (2010-2013; 2013-2016; 2016-2018)
Governor
Boses Han Sinirangan. Kabakyang Ha Kauswagan. Sangkay Han Ngatanan",2018-03-31 10:23:49 SGT,N/A,N/A,2017-12-02 07:50:10 SGT,2017-12-02,07:50:10,Link,73,69,0,3,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/789846311110641/posts/1471450902950175,http://www.congress.gov.ph/photojournal/zoom.php?photoid=1376,http://www.congress.gov.ph/photojournal/zoom.php?photoid=1376,,,House of Representatives,"Two House Members called for an inquiry, in aid of legislation, on the alleged illegal acts committed by key officials of the Social Security System (SSS) leading to opportunity losses to the state pension fund and ultimately the SSS members. House Resolution Nos. 1433 and 1434 were jointly tackled?...",,,,-3.03
House of Representatives of the Philippines,HouseofRepsPH,183015742270,GOVERNMENT ORGANIZATION,PH,The House of the People,2017-02-27 15:57:03 SGT,22396,N/A,2017-10-30 17:30:18 SGT,2017-10-30,17:30:18,Link,69,54,0,11,4,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/183015742270/posts/10154705841937271,"On the fourth week of the House of Representatives month, women legislators and the Committee on Women and Gender Equality partnering with the Association of Women Legislators Foundation, Inc. (AWLFI) and the Philippine Foundation for Breast Cancer, Inc. (PFBCI) came up with a lecture-workshop on breast care and breast cancer prevention. #OneHouseForChange",http://www.congress.gov.ph/photojournal/zoom.php?photoid=1364,,,House of Representatives,"A lecture-workshop on breast care and breast cancer prevention, donation by women legislators, and product exhibits by regional cooperatives capped the fourth week’s celebration of the House Month. The Committee on Women and Gender Equality in partnership with the Association of Women Legislators Fo...",,,,2.23
Project Purpose,projectpurposeph,322185287939,COMMUNITY,PH,"Project Purpose Philippines

Life is too short to be directionless. Discover your life purpose. Live life to the fullest!",2017-10-26 11:49:31 SGT,6188,6168,2018-05-16 16:18:55 SGT,2018-05-16,16:18:55,Link,68,62,0,0,3,3,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/322185287939/posts/10156463944947940,Boris and Renz purposefully conducted a leadership encounter to the executive staff of the House of Representative with House Secretary-General Atty. Cesar Strait Pareja.,http://www.congress.gov.ph/photojournal/zoom.php?photoid=1496,,,House of Representatives,"Thirty participants from different units of the Secretariat of the House of Representatives took part in a two-day training session conducted by the People Management Association, Inc. of the Asian Institute of Human Resource Management. The program aims to create “servant-leaders”—those who c...",,,,3.58
Philippine Cannabis Compassion Society - PCCS,PCCSpage,369437756533091,NON-GOVERNMENTAL ORGANIZATION (NGO),PH,"We are an organization of patients supported by parents and family members, as well as advocates, mostly volunteers, pushing for the secure access to affordable, safe and available medical marijuana.

For media interviews: pls text or call 0977 025 5670

",2014-06-18 01:13:48 SGT,59428,59780,2019-08-06 05:13:29 SGT,2019-08-06,05:13:29,Link,64,38,3,11,12,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/369437756533091/posts/1749720555171464,http://www.congress.gov.ph/photojournal/zoom.php?photoid=2051,http://www.congress.gov.ph/photojournal/zoom.php?photoid=2051,,,House of Representatives,"Advocates for the legalization of medical cannabis voiced their full support for House Bill 279, authored by Rep. Antonio ""Tonypet"" Albano (1st District, Isabela), during a meeting on Monday. HB 279, or the ""Philippine Medical Cannabis Compassionate Act"", provides the right of access to medical cann...",,,,-3.84
Tingog Party List,TingogPartyList,1492632331035459,PUBLIC SERVICE,PH,"Tingog Sinirangan seeks to bring forth pagbag-o (change), paglaum (hope), and pag-uswag (progress) in Eastern Visayas (or Region VIII). ",2019-10-29 15:36:40 SGT,29280,30606,2020-08-05 15:10:24 SGT,2020-08-05,15:10:24,Photo,62,54,0,6,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1492632331035459/posts/2473740679591281,,https://www.facebook.com/YeddaRomualdez/photos/a.2429406443973094/2719167651663637/?type=3,,,Yedda Romualdez,"Tingog Party-list Rep. Yedda Romualdez, Chairperson of the Committee on the Welfare of Children, approved with amendments a bill that would declare abandoned children with unknown parents as natural-born Filipino citizens, and vowed for its immediate approval in the House of Representatives in a meeting of said committee.

House Bill (HB) 3472 or the Foundling Welfare Act, principally authored by Ang Probinsyano Party-list Rep. Ronnie Ong, aims to promote the rights of foundlings and give them the rights all Filipino children are entitled to.

https://bit.ly/31oCxOC:=:http://www.congress.gov.ph/photojournal/zoom.php?photoid=2431",,,,-2.5
Anac-IP Partylist,anacip.org,424033544343698,POLITICAL ORGANIZATION,PH,"Anac-Ip Partylist is an organization committed to the preservation, protection and promotion of the rights, welfare and future of indigenous peoples.",2018-03-31 11:57:41 SGT,N/A,N/A,2018-02-21 14:27:45 SGT,2018-02-21,14:27:45,Photo,61,45,0,16,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/424033544343698/posts/1616441818436192,"WHERE HAVE ALL THE RICE GONE? Rep. Jose Panganiban Jr., chairman of the House committee on agriculture and food, poses this question to resource persons during the panel investigation on the true state of the country’s rice supply. The inquiry was based on House Resolution Nos. 842, 951, 993, 1013, 1013, 1588, 1648, 1658 and 1689. The resolutions are calling for an investigation, in aid of legislation, on the possible existence of a rice shortage in the country. Jason Aquino, administrator of the National Food Authority (NFA), assured the panel there is no rice shortage in the country. He said that what the country lacks now is affordable rice for the Filipino people particularly the poor and accessible rice for those living in island provinces. Among those who attended the meeting were Reps. Anthony Bravo, Manuel Luis Lopez, Luis Raymund Villafuerte, Rico Geron, Gary Alejano, Cecilia Leonila Chavez, Micaela Violago, Orestes Salon, Jose Tejada, Michelle Antonio, Delphine Gan Lee, Isagani Amatong, Francisco Datol, Jr., Edgar Sarmiento, Ramon Rocamora, Baby Aline Vargas-Alfonso, Eugene De Vera, Fernando Gonzalez, Aniceto Bertiz III, Peter Unabia, Wilfredo Caminero and Leo Rafael Cueva. Resource persons invited to the meeting include Secretary Emmanuel Piñol of the Department of Agriculture and the NFA Council led by lawyer Jeck Otero. | MVIP/GM Source: http://www.congress.gov.ph/photojournal/zoom.php?photoid=1437",https://www.facebook.com/anacip.org/photos/a.430108460402873/1616439848436389/?type=3,,,,,,,,2.18
Yul Servo Nieto,nietoyulservo,531230963566512,GOVERNMENT OFFICIAL,PH,"Naglilikod Anumang Panahon
Serbisyong Walang Katulad
Lingkod Bayan
",2018-03-31 09:31:47 SGT,18143,22525,2020-11-29 10:45:23 SGT,2020-11-29,10:45:23,Link,61,48,0,6,7,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/531230963566512/posts/3634688456554065,"Inaprubahan ni Cong. Yul Servo Nieto bilang Chairman ng Committee on Youth and Sports Development ang House Bill 1226 at 5281 o kilala bilang “Anti-Game Fixing Act” na patibayin ang batas laban sa game fixing sa lahat ng paligsahan sa ating bansa. Ito ay upang itaguyod ang growth at development ng ating mga atleta at para maproteksyunan sila sa masamang impluwensiya, ang layunin nito ay upang maging patas ang palaro. Ang parusa sa mga mapapatunayang nagkasala sa batas na ito ay papatawan ng karampatang parusa na pagkakakulong ng 1 hanggang 3 taon at multa na hindi bababa sa P500,000 hanggang P1 milyon. Sila ay madidiskwalipika sa lahat ng palarong kompetisyon sa ating bansa. Tanging ang Philippines Sports Commission o PSC ay may awtoridad na magtanggal ng mga atleta, tagasanay at iba pang mga opisyal sa National Team. Ang Games and Amusement Board o GAB ang may awtoridad bawiin ang lisensya ng mga sangkot sa game fixing. 🔎 http://www.congress.gov.ph/photojournal/zoom.php?photoid=2647 #CommitteOnYouthAndSportsDevelopment #AntiGameFixingAct #HouseBill1226 #HouseBill5281 #LingkodBayan #NaglilingkodAnumangPanahon",http://www.congress.gov.ph/photojournal/zoom.php?photoid=2647,,,House of Representatives Photo Journals,House of Representatives Photo Journals,,,,1.52
Serbisyo ni Maricar,serbisyonimaricar,151708414853442,PUBLIC & GOVERNMENT SERVICE,PH,This is the official page of Vice Governor Maricar Zamora,2018-03-31 12:17:40 SGT,3361,N/A,2018-09-19 22:02:19 SGT,2018-09-19,22:02:19,Link,61,57,0,4,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/151708414853442/posts/2146557915368472,"The budget plenary debates are ongoing, following Rep. Maricar Zamora’s sponsorship of the general appropriations bill See: http://www.congress.gov.ph/photojournal/zoom.php?photoid=1684",http://www.congress.gov.ph/photojournal/zoom.php?photoid=1684,,,House of Representatives,"The House continued its plenary debates on House Bill 8169 or the 2019 General Appropriations Bill (GAB) on Wednesday. The deliberation was opened by former President and now Speaker Gloria Macapagal-Arroyo, with Rep. Maria Carmen Zamora (1st District, Compostela Valley), a Vice Chairperson of the C...",,,,1.22
Paz Radaza,CongresswomanPazLLC,529901257160994,POLITICIAN,PH,Official Page of Congresswoman Paz Corro Radaza,2016-03-11 10:50:22 SGT,212418,214308,2020-03-06 17:00:04 SGT,2020-03-06,17:00:04,Photo,60,44,1,10,5,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/529901257160994/posts/1533139856837124,http://www.congress.gov.ph/photojournal/zoom.php?photoid=2327,https://www.facebook.com/CongresswomanPazLLC/photos/a.531064597044660/1533139833503793/?type=3,,,,,,,,-11.7
"Dasureco, Inc.",DasurecoOfficial,705506699604102,LOCAL BUSINESS,PH,The sole power distributor in the entire provinces of Davao del Sur and Davao Occidental. DASURECO covers 1 City and 14 Municipalities.,2019-11-14 11:55:13 SGT,N/A,N/A,2019-08-02 06:42:25 SGT,2019-08-02,06:42:25,Link,58,47,0,10,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/705506699604102/posts/1423491384472293,"Neophyte House Members belonging to the Party-list Coalition Foundation, Inc., among them Reps. Niña Taduran (Party-list, ACT-CIS), Presley De Jesus (Party-list, PHILRECA), Adriano Ebcas (Party-list, AKO PADAYON) and Godofredo Guya (Party-list, RECOBODA), held a press conference on Thursday to discuss their advocacies and priority measures for the 18th Congress. ©️",http://www.congress.gov.ph/photojournal/zoom.php?photoid=2047,,,This is a re-share of a post,"“Rural electrification is the key to rural development...”

#RECOBODA
#MCOsAngBida",,,,-4.48
"Lianda ""Siling Labuyo"" Bolilia",alagangsilinglabuyo,360273297883608,GOVERNMENT OFFICIAL,PH,Alagang Siling Labuyo,2019-10-30 13:54:06 SGT,4929,5150,2021-02-03 10:13:36 SGT,2021-02-03,10:13:36,Photo,57,29,0,10,17,0,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/360273297883608/posts/863990387511894,"""MANDATORY IMMUNIZATION PROGRAM BILL HURDLES SECOND READING The House of Representatives, under the leadership of Speaker Lord Allan Velasco, approved on Second Reading Tuesday, House Bill 8558 or the proposed “Mandatory Immunization Program Act,” principally authored by Deputy Speaker Strike Revilla and House Committee on Health Chairperson Angelina “Helen” Tan M.D. (4th District, Quezon). The measure seeks to repeal Republic Act 10152 or the “Mandatory Infants and Children Health Immunization Act of 2011.” Under HB 8558, the mandatory immunization would now include vaccine-preventable diseases for 1) Tuberculosis, 2) Diphtheria, Tetanus and Pertussis, 3) Poliomyelitis, 4) Measles, 5) Mumps, 6) Rubella or German Measles, 7) Hepatitis-B, 8) H. Influenza Type B, (HIB) 9) Rotavirus, 10) Japanese Encephalitis 11) Pneumococcal Conjugate Vaccine (PCV), 12) Human Papilloma Virus 13) Booster for Measles, Rubella, Tetanus, Diphtheria (MRTD) and other types as may be determined by the Secretary of Health. It would also mandate the Philippine Health Insurance Corporation (PhilHealth) to include the mandatory immunization services in its benefit package, but would undergo evaluation conforming to Republic Act 11223 or the “Universal Health Care Act.”"" https://www.congress.gov.ph/photojournal/zoom.php?photoid=2795",https://www.facebook.com/alagangsilinglabuyo/photos/a.362859714291633/863990154178584/?type=3,,,"Photos from Lianda ""Siling Labuyo"" Bolilia's post",,,,,-1.61
"Mayor Linabelle Ruth R. Villarica, City of Meycauayan",,260203974002103,GOVERNMENT OFFICIAL,PH,"Mayor of the City of Meycauayan, Bulacan",2016-03-10 22:01:12 SGT,5040,5087,2018-11-19 17:31:45 SGT,2018-11-19,17:31:45,Link,56,51,1,1,3,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/260203974002103/posts/2132577116764770,"BREAST CANCER, SA MAAGANG PAGTUKLAS, MAY LUNAS. http://www.congress.gov.ph/photojournal/zoom.php?photoid=1743",http://www.congress.gov.ph/photojournal/zoom.php?photoid=1743,,,House of Representatives,"The House Committee on Women and Gender Equality chaired by Rep. Bernadette Herrera-Dy (Party-list, Bagong Henerasyon) and the Association of Women Legislators Foundation, Inc. (AWLFI), in partnership with the Philippine Foundation for Breast Care, Inc. (PFBCI), on Thursday held a seminar on breast....",,,,1.51
Autism Society Philippines,autismsocietyphilippines,151064536472,COMMUNITY ORGANIZATION,PH,"Phone  +632 7903 5496
Email    autismphils@gmail.com
Visit       http://bit.ly/1LwgklB",2016-06-01 07:25:34 SGT,N/A,N/A,2014-01-25 08:34:20 SGT,2014-01-25,08:34:20,Link,53,43,1,9,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/151064536472/posts/10152538288098852,Speaker of the House Sonny Belmonte echoed the Autism Society Philippines' seven-point policy agenda at the opening of the PWA Art Exhibit at Congress on 20 January 2013.,http://www.congress.gov.ph/photojournal/zoom.php?photoid=861,,,HOUSE OF REPRESENTATIVES | 16th Congress of the Philippines,"RAISING AWARENESS ON AUTISMPhoto credit: Gilbert Engay, Media Relations Service-PRIB20 January 2014 05:59:06 PMSpeaker Feliciano Belmonte, Jr. lauded Hon. Arturo Robes, chairperson of the House Committee on Social Services, Hon. Edgardo Masongsong, Hon. Alfred Vargas III and Hon. Emmeline Aglipay, M...",,,,-3.04
Paz Radaza,CongresswomanPazLLC,529901257160994,POLITICIAN,PH,Official Page of Congresswoman Paz Corro Radaza,2016-03-11 10:50:22 SGT,212418,214308,2020-03-06 11:03:30 SGT,2020-03-06,11:03:30,Photo,53,40,0,6,7,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/529901257160994/posts/1533138473503929,http://www.congress.gov.ph/photojournal/zoom.php?photoid=2326,https://www.facebook.com/CongresswomanPazLLC/photos/a.532098136941306/1533138446837265/?type=3,,,,,,,,-13.25
Apec Partylist,ApecPartylistOfficialPage,1957592077883081,POLITICAL ORGANIZATION,PH,"The Official Page of the Association of Philippine Electric Cooperatives (APEC) Partylist.

The 121 electric cooperatives constituting APEC are  represented in the 18th Congress by Hon. Sergio Dagooc.

Rep. Sergio Dagooc is a proud Power Bloc member.",2021-01-15 10:20:51 SGT,N/A,N/A,2020-09-18 09:00:24 SGT,2020-09-18,09:00:24,Photo,52,40,0,11,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1957592077883081/posts/2373553172953634,"During the House Committee on Energy yesterday, house panel approved bills to ensure affordable electricity for low-income households and health crisis. 💡 The body approved a proposal that would mandate the extension of the implementation of the lifeline rate until 2041. This would allow low-income Filipino households continued affordable access to electricity amid the pandemic. The approved bill consolidated House Bills 7059 and 7341 seeking to extend the implementation of the lifeline rate, amending for the purpose Section 73 of Republic Act 9136, otherwise known as the “Electric Power Industry Reform Act (EPIRA). Committee Vice Chair Rep. Presley De Jesus, who presided over the meeting, emphasized that the lifeline rate supports consumers incapable of paying for the full cost by providing a subsidized electricity rate. | 📷 via Press and Public Affairs Bureau, House of Representatives READ MORE: http://www.congress.gov.ph/photojournal/zoom.php?photoid=2520&fbclid=IwAR1x4p-FaPhKnTx13xFtsnNFeUPJkb66MRV5KOKeaqByaXe0ILpyq7EFZQI",https://www.facebook.com/ApecPartylistOfficialPage/photos/a.2080474862261468/2373551409620477/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FApecPartylistOfficialPage%2Fphotos%2Fa.2080474862261468%2F2373551409620477%2F%3Ftype%3D3,,Photos from Apec Partylist's post,,,,,0
Cong. Ria Fariñas,CongRiaFarinas,518050915427631,INTEREST,PH,"This is the official Facebook page of Rep. Ria Fariñas, Representative of the First District of Ilocos Norte",2020-03-09 10:42:14 SGT,N/A,N/A,2019-08-28 20:07:39 SGT,2019-08-28,20:07:39,Link,52,42,0,0,10,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/518050915427631/posts/549358052296917,"The House Committee on Transportation, chaired by Rep. Edgar Mary Sarmiento (1st District, Samar) approved today House Bill No. 698, authored by Cong. Rudys and I, which is also known as ""An Act Declaring the Third Sunday of November of Every Year as the National Day of Remembrance for Road Crash Victims, Survivors, and their Bereaved Families."" For you, @jrfarinas 🙏🏻 #CongRiaFarinas #RangayItiAmin #TatakFarinas",http://www.congress.gov.ph/photojournal/zoom.php?photoid=2090,,,House of Representatives,"The House Committee on Transportation chaired by Rep. Edgar Mary Sarmiento (1st District, Samar) convened for the first time on Wednesday, wherein the Chairman recounted the accomplishments of the 17th Congress and introduced the members of the panel. Thereafter, the panel approved the Committee's R...",,,,-2.38
National Council on Disability Affairs (Government),nationalcouncilondisabilityaffairs,176899879007856,GOVERNMENT ORGANIZATION,PH,"The National Council on Disability Affairs (NCDA) is the national government agency mandated to formulate policies and coordinate the activities of all agencies, whether public or private, concerning disability issues and concerns.",2015-09-05 05:41:19 SGT,18766,20888,2021-04-07 10:31:36 SGT,2021-04-07,10:31:36,Link,51,40,0,10,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/176899879007856/posts/4157981110899693,HOUSE MEMBERS PUSH FOR EQUALITY FOR WOMEN AND INCLUSION OF WOMEN WITH DISABILITIES AMID COVID-19 CRISIS PLEASE SHARE AND SUPPORT THE EMPOWERMENT OF PERSONS WITH DISABILITIES https://www.congress.gov.ph/photojournal/zoom.php?photoid=2933,https://www.congress.gov.ph/photojournal/zoom.php?photoid=2933,,,House of Representatives Photo Journals,House of Representatives Photo Journals,,,,1.46
"Lianda ""Siling Labuyo"" Bolilia",alagangsilinglabuyo,360273297883608,GOVERNMENT OFFICIAL,PH,Alagang Siling Labuyo,2019-10-30 13:54:06 SGT,4925,5145,2021-02-02 17:12:23 SGT,2021-02-02,17:12:23,Photo,50,23,1,12,14,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/360273297883608/posts/863606877550245,"""BILL ON INCOME TAX RELIEF FOR FRONT-LINERS APPROVED Honoring the invaluable work of medical front-liners during the COVID-19 pandemic, the House of Representatives approved on Final Reading Monday, House Bill 8259, which seeks to provide them with income tax relief for taxable year 2020. The proposed “Handog sa mga Bayaning Lumaban Kontra COVID-19 Act,” principally authored by Deputy Speaker Michael Romero Ph.D., would exempt all medical front-liners from paying 25 percent of income tax. The measure then defines medical front-liners as persons engaged in health-related service and employed in hospitals, clinics, or other medical institutions, whether public or private, which treat patients infected with COVID-19. This would include administrative employees, support personnel, and staff, regardless of employment status. Additionally, the legislators also passed HBs 8461 and 8512, granting the President of the Philippines the power to defer the scheduled increases of PhilHealth and SSS contributions in times of national emergencies; HB 8179 or the proposed “Sustainable Forest Management Act;” and HB 8242 or the proposed “Right to Adequate Food Act.” Deputy Speakers Bienvenido Abante Jr. and Deogracias Victor “DV” Savellano presided over today’s session."" https://www.congress.gov.ph/photojournal/zoom.php?photoid=2786",https://www.facebook.com/alagangsilinglabuyo/photos/a.362859714291633/863606847550248/?type=3,,"congress.gov.ph 01 February 2021 09:39:45 PM Honoring the invaluable work of medical front-liners during the COVID- 19 pandemic, the House of Representatives approved on Final Reading Monday, House Bill 8259, which seeks to provide them with income tax relief for taxable year 2020. The proposed ""Handog sa mga Bayaning Lumaban Kontra COVID-19 Act,"" principally authored by Deputy Speaker Michael Romero Ph.D., would exempt all medical front-liners from paying 25 percent of income tax. The measure then defines medical front- liners as persons engaged in health- related service and employed in",,,,,,-1.84
Congressman  Pantaleon Alvarez,congpantaleonalvarez,558694637671776,GOVERNMENT OFFICIAL,PH,Official account of Davao del Norte 1st District Representative Pantaleon D. Alvarez. Posts are managed by staff. ,2017-03-16 17:19:26 SGT,4512,N/A,2017-10-30 17:34:53 SGT,2017-10-30,17:34:53,Link,49,45,1,0,2,0,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/558694637671776/posts/783947598479811,"On the fourth week of the House of Representatives month, women legislators and the Committee on Women and Gender Equality partnering with the Association of Women Legislators Foundation, Inc. (AWLFI) and the Philippine Foundation for Breast Cancer, Inc. (PFBCI) came up with a lecture-workshop on breast care and breast cancer prevention. #OneHouseForChange",http://www.congress.gov.ph/photojournal/zoom.php?photoid=1364,,,This is a re-share of a post,"On the fourth week of the House of Representatives month, women legislators and the Committee on Women and Gender Equality partnering with the Association of Women Legislators Foundation, Inc. (AWLFI) and the Philippine Foundation for Breast Cancer, Inc. (PFBCI) came up with a lecture-workshop on breast care and breast cancer prevention.

#OneHouseForChange",,,,-1.88
"Aurelio ""Dong"" D. Gonzales Jr.",RepDongGonzales,5031222726939613,POLITICIAN,PH,"Isundu Tamu Pu ing TAPAT at TUNE Pamag SERBISYU

Official Facebook page of Cong. Dong Gonzales. Managed by the staff.",2018-03-31 09:35:05 SGT,N/A,N/A,2017-03-07 17:56:08 SGT,2017-03-07,17:56:08,Link,49,33,1,15,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/5031222726939613/posts/6299326230129250,Paskuhan Village Sale probed at the Committee on Good Government and Public Accountability. http://www.congress.gov.ph/photojournal/zoom.php?photoid=1158,http://www.congress.gov.ph/photojournal/zoom.php?photoid=1158,,,House of Representatives,"The House committee on good government and public accountability chaired by Rep. Johnny Pimentel (2nd District, Surigao del Sur) recently started its inquiry into the sale of the Paskuhan Village in San Fernando City, Pampanga to SM Development Corporation (SMDC) by the Tourism Infrastructure and En...",,,,-3.1
Philreca Partylist,PhilrecaPartylist,595853157526834,POLITICAL ORGANIZATION,PH,The Official Page of the Philippine Rural Electric Cooperatives (PHILRECA) Party-List. Hon. Presley C. De Jesus sits as PHILRECA Party-List's Representative to Congress. Rep. De Jesus is a proud member of the Power Bloc.,2019-10-29 15:12:22 SGT,5661,5874,2020-09-18 09:00:29 SGT,2020-09-18,09:00:29,Photo,47,43,0,2,1,0,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/595853157526834/posts/1012726255839520,"During the House Committee on Energy yesterday, house panel approved bills to ensure affordable electricity for low-income households and health crisis. 💡 The body approved a proposal that would mandate the extension of the implementation of the lifeline rate until 2041. This would allow low-income Filipino households continued affordable access to electricity amid the pandemic. The approved bill consolidated House Bills 7059 and 7341 seeking to extend the implementation of the lifeline rate, amending for the purpose Section 73 of Republic Act 9136, otherwise known as the “Electric Power Industry Reform Act (EPIRA). Committee Vice Chair Rep. Presley De Jesus, who presided over the meeting, emphasized that the lifeline rate supports consumers incapable of paying for the full cost by providing a subsidized electricity rate. | 📷 via Press and Public Affairs Bureau, House of Representatives READ MORE: http://www.congress.gov.ph/photojournal/zoom.php?photoid=2520&fbclid=IwAR1x4p-FaPhKnTx13xFtsnNFeUPJkb66MRV5KOKeaqByaXe0ILpyq7EFZQI",https://www.facebook.com/PhilrecaPartylist/photos/a.598025940642889/1012724409173038/?type=3,,,Photos from Philreca Partylist's post,,,,,-1.81
Philreca Partylist,PhilrecaPartylist,595853157526834,POLITICAL ORGANIZATION,PH,The Official Page of the Philippine Rural Electric Cooperatives (PHILRECA) Party-List. Hon. Presley C. De Jesus sits as PHILRECA Party-List's Representative to Congress. Rep. De Jesus is a proud member of the Power Bloc.,2019-10-29 15:12:22 SGT,7687,7920,2021-01-13 16:01:31 SGT,2021-01-13,16:01:31,Photo,45,36,0,5,3,0,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/595853157526834/posts/1100046987107446,"ICYMI: The House Committee on Cooperatives Development had its first organizational meeting led by Chairman Presley De Jesus joined by Power Bloc representatives, house members, electric cooperatives representatives and Cooperative Development Authority (CDA) officials yesterday. The Committee was briefed by CDA Chairman Orlando Ravanera on the current state of cooperatives in the Philippines. Chairman De Jesus together with Power Bloc manifested their support and pledged to work together with CDA to further improve cooperativism in the Philippines. Photos from: House of Representatives Photo Journal 📸 READ MORE ⬇️ http://www.congress.gov.ph/photojournal/zoom.php?photoid=2738",https://www.facebook.com/PhilrecaPartylist/photos/a.598025940642889/1100091000436378/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FPhilrecaPartylist%2Fphotos%2Fa.598025940642889%2F1100091000436378%2F%3Ftype%3D3,REC Cooperative Development Autherity Cooperative Development Authority Cooperative Development Authority Cooperative Development Cooperative Development Authority Cooperative Develop perative Development Authority Cooperative Development Authority Cooperative Developme erative Development CDA Chairman Ravanera Cooperative Development,Photos from Philreca Partylist's post,,,,,-1.98
Cong Narciso Bravo Jr.,nrbravojr,978371618842364,PUBLIC FIGURE,PH,"Official Facebook page of Bong Bravo!

Narciso ""Bong"" Recio Bravo, Jr. is a Filipino politician from Masbate. ",2020-03-09 10:42:15 SGT,N/A,N/A,2020-03-05 08:39:20 SGT,2020-03-05,08:39:20,Link,41,31,1,2,7,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/978371618842364/posts/3185000994846071,,http://www.congress.gov.ph/photojournal/zoom.php?photoid=2333,,,House of Representatives,"The House Committee on Public Order and Safety chaired by Rep. Narciso Bravo Jr. (1st District, Masbate) and Committee on National Defense and Security chaired by Rep. Raul Tupas (5th District, Iloilo) hope to finish before the congressional recess the discussions on the substitute bill seeking to d...",,,,-18.37
